energy,unc_en,intensity,unc_i,start_level_energy,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.81,0.02, , ,281.363,267.566, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
26.3446,0.0002,2.27,0.12212817037850031,59.54090,33.19632,E1, ,,8, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
27.02,0.007, , ,102.959,75.900, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
31.4, , , ,546.12,514.20, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
32.183, ,0.0174,0.00043620637317673384, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
33.196,0.001,0.126,0.0032538592471094995,33.19632,0.0,M1+E2,0.13,3,185, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
38.54,0.03, , ,370.931,332.382, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
42.704,0.005,0.0055,0.0011013741416975433,75.900,33.19632,(M1+E2),0.13,AP,80, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
43.42,0.003,0.073,0.008033237205510614,102.959,59.54090,M1+E2,0.41,2,168, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
51.01,0.03,0.000026,0.000012002816336177106,332.382,281.363,E1, ,,0.767, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
54, , , ,129.99,75.900, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
55.56,0.02,0.0181,0.001809077389168302,158.500,102.959,M1+E2,0.46,4,67, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
56.8, , , ,324.421,267.566, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
57.85,0.05,0.0052,0.0015009010626953398, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
59.5409,0.0001,35.9,0.3657608508301565,59.54090,0.0,E1, ,,1.16, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
61.46, , , ,191.55,129.99, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
64.83,0.02,0.000145,0.000018058308337161595,332.382,267.566,E1, ,,0.408, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
67.45,0.05,0.00042,0.00010008816113806868,226.005,158.500,(M1+E2),0.46,12,31, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
69.76,0.03,0.0029,0.0004010498722104272,102.959,33.19632,(E1), ,,0.336, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
75.8,0.2,0.00059,0.0000059,75.900,0.0,(E2), ,,54.6, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
78.1, , , ,799.82,721.961, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
79.1, , , ,305.05,226.005, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
92.1, , , ,359.92,267.566, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
96.7,0.2, , ,129.99,33.19632, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
98.97,0.02,0.0203,0.0004485632619820754,158.500,59.54090,E2, ,,15.6, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
102.98,0.02,0.0195,0.000445,102.959,0.0,E1, ,,0.121, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
106.42,0.05,0.000015,0.00000015, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
109.7,0.07,0.0000049,0.000000049,434.12,324.421,[E2], ,,9.67, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
115.54, , , ,191.55,75.900, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
120.36,0.08,0.0000045,0.000000045,444.78,324.421, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
123.052,0.007,0.001,0.000031622776601683795,226.005,102.959,E2, ,,5.90, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
125.3,0.02,0.00408,0.00009881619300499286,158.500,33.19632,[E1], ,,0.306, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
128.05, , , , , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
129.2, , , ,434.12,305.05, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
135.3, , , ,459.694,324.421, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
136.7, , , , , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
138.5, , , ,597.99,459.694, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
139.44,0.08,0.0000053,0.0000011012760780113223,592.33,452.547,[E2], ,,3.45, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
146.55,0.03,0.000461,0.000011926948478131361,305.05,158.500,E2, ,,2.80, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
150.04,0.03,0.000074,0.000002226566864030811,226.005,75.900,[E1], ,,0.200, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
154.27,0.2,0.00000054,0.0000000054,514.20,359.92,[M1], ,,7.54, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
156.4,0.3, , , , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
159.26,0.2,0.0000014,0.0000005001959615990517,592.33,434.12,[E1], ,,0.174, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
161.54,0.1,0.0000015,0.000000015,486.22,324.421,[M1], ,,6.61, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
164.69,0.04,0.0000667,0.000002490961460962413,267.566,102.959,E2, ,,1.74, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
165.81,0.06,0.0000232,0.0000011241992705921847,324.421,158.500,[M1+E2], ,,3.9, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
169.56,0.03,0.000173,0.000004358084441586694,395.57,226.005,E2, ,,1.55, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
175.07,0.04,0.0000182,0.000001016427075593719,305.05,129.99,[E1], ,,0.1385, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
190.4, ,0.0000022,0.0000005004837659704858, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
191.96,0.04,0.0000216,0.0000010230620704532057,497.01,305.05,[E2], ,,0.954, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
197,0.2,0.00000049,0.0000000049,592.33,395.57,[E1], ,,0.105, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
201.7,0.14,0.0000008,0.000000008, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
204.06,0.06,0.0000029,0.00000019220041623263984,395.57,191.55,[E1], ,,0.097, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
208.01,0.03,0.000791,0.00001875014933273866,267.566,59.54090,M1+E2,0.156,5,3.18, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
221.46,0.03,0.0000424,0.0000010861749398692643,324.421,102.959,[M1+E2], ,,1.6, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
221.8,0.04, , ,281.363,59.54090, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
232.81,0.05,0.00000464,0.00000030356706013663604,514.20,281.363,[M1], ,,2.36, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
234.33, ,0.00000066,0.00000027008065462005976,267.566,33.19632,M2, ,,8.66, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
246.73,0.1,0.00000242,0.00000025116854898653215,514.20,267.566,[M1], ,,2.01, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
249,0.15,0.00000054,0.0000000054,324.421,75.900,[E1], ,,0.061, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
260.8,0.15,0.00000121,0.00000019038489961128745,452.547,191.55,[E2], ,,0.320, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
260.8,0.15, , ,486.22,226.005, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
264.89,0.06,0.000009,0.00000041,324.421,59.54090,[M1+E2], ,,1.0, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
264.89,0.06, , ,546.12,281.363, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
267.58,0.05,0.0000263,0.0000008421217251680424,267.566,0.0,E1+M2,0.490,15,1.11, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
270.63,0.15,0.00000064,0.0000002001023737990132, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
275.77,0.08,0.0000066,0.0000004054084360247083,434.12,158.500,[M1+E2], ,,0.9, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
278.04,0.15,0.00000044,0.0000000044,546.12,267.566,[M1], ,,1.44, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
291.3,0.2,0.0000031,0.00000030159741378201506,324.421,33.19632,[E1], ,,0.0433, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
292.77,0.06,0.0000142,0.0000005197730273879167,368.615,75.900,[E2], ,,0.220, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
300.13,0.06, , ,359.92,59.54090, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
304.21,0.2,0.00000101,0.00000021024274065945773,434.12,129.99,[E1], ,,0.0393, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
309.1,0.3,0.0000014,0.000000014,368.615,59.54090,[E1], ,,0.0380, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
316.8,0.2,0.00000005,0.0000000005,316.8,0.0, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
322.52,0.03, , ,590.09,267.566, , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
322.52,0.03,0.0001518,0.000003541796719180817,452.547,129.99,(M1+E2),0.6,AP,0.75, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
332.35,0.03,0.000149,0.000003349641771891436,332.382,0.0,E2, ,,0.150, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
335.37,0.03,0.000496,0.00001116250867860805,368.615,33.19632,M1+E2,0.46,17,0.74, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
337.7,0.2,0.00000429,0.0000002339666856627242,370.931,33.19632,(E2), ,,0.143, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
340.56,0.08,0.0000043,0.000000043, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
358.25,0.2,0.0000012,0.00000024029981273400943,434.12,75.900,[E1], ,,0.0276, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
368.65,0.03,0.000217,0.000005450587124338074,368.615,0.0,M1(+E2),0.31,LT,0.64, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
370.94,0.03,0.0000523,0.0000013090183344781693,370.931,0.0,M1+E2,0.43,14,0.57, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
376.65,0.03,0.0001383,0.0000033034359385343013,452.547,75.900,(M1), ,,0.627, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
383.81,0.03,0.0000282,0.0000007546681389856073,459.694,75.900,[M1+E2], ,,0.35, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
389,0.3,0.00000049,0.0000000049, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
390.62,0.1,0.0000059,0.00000027637112729082245, , , , ,, , ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
398.64,0.15,0.000002,0.00000002,666.20,267.566, , ,,0.056, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
401.3,3,0.00000049,0.0000000049,592.33,191.55,[M1+E2], ,,0.31, ,95,146,Am, ,0, ,5/2-,432.6, ,6,Y,13651526176.6085,18934155.5847552,A,100, ,5637.82,12,93,144,Np,15-Mar-2006,M. S. Basunia,2023-03-15
